brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Honor,100,,android,phone,2023,unknown,,,,,,,,,low,
Honor,100 Pro,,android,phone,2023,unknown,,,,,,,,,low,
Honor,100 Lite,,android,phone,2024,unknown,,,,,,,,,low,
Honor,200 Lite,,android,phone,2024,unknown,,,,,,,,,low,
Honor,200,,android,phone,2024,unknown,,,,,,,,,low,
Honor,200 Pro,,android,phone,2024,unknown,,,,,,,,,low,
Honor,200 Smart,,android,phone,2024,unknown,,,,,,,,,low,
Honor,300,,android,phone,2025,unknown,,,,,,,,,low,
Honor,300 Pro,,android,phone,2025,unknown,,,,,,,,,low,
Honor,300 Ultra,,android,phone,2025,unknown,,,,,,,,,low,
Honor,300 Smart,,android,phone,2025,unknown,,,,,,,,,low,
Honor,400,,android,phone,2025,unknown,,,,,,,,,low,
Honor,400 Pro,,android,phone,2025,unknown,,,,,,,,,low,
Honor,X10,,android,phone,2020,unknown,,,,,,,,,low,
Honor,X10 Max,,android,phone,2020,unknown,,,,,,,,,low,
Honor,X20,,android,phone,2020,unknown,,,,,,,,,low,
Honor,X20 SE,,android,phone,2020,unknown,,,,,,,,,low,
Honor,X30,,android,phone,2021,unknown,,,,,,,,,low,
Honor,X30i,,android,phone,2021,unknown,,,,,,,,,low,
Honor,X30 Max,,android,phone,2021,unknown,,,,,,,,,low,
Honor,X40,,android,phone,2022,unknown,,,,,,,,,low,
Honor,X40i,,android,phone,2022,unknown,,,,,,,,,low,
Honor,X40 GT,,android,phone,2022,unknown,,,,,,,,,low,
Honor,X50,,android,phone,2023,unknown,,,,,,,,,low,
Honor,X50i,,android,phone,2023,unknown,,,,,,,,,low,
Honor,X60,,android,phone,2024,unknown,,,,,,,,,low,
Honor,X60 Pro,,android,phone,2024,unknown,,,,,,,,,low,
Honor,X60i,,android,phone,2024,unknown,,,,,,,,,low,
Honor,X60 GT,,android,phone,2025,unknown,,,,,,,,,low,
Honor,X70,,android,phone,2025,unknown,,,,,,,,,low,
Honor,X70 Pro,,android,phone,2025,unknown,,,,,,,,,low,
Honor,X70 Pro+,,android,phone,2025,unknown,,,,,,,,,low,
Honor,X80,,android,phone,2022,unknown,,,,,,,,,low,
Honor,X80 Pro,,android,phone,2022,unknown,,,,,,,,,low,
Honor,X80 GT,,android,phone,2023,unknown,,,,,,,,,low,
Honor,X90,,android,phone,2022,unknown,,,,,,,,,low,
Honor,X90 Pro,,android,phone,2022,unknown,,,,,,,,,low,
Honor,X6,,android,phone,2023,unknown,,,,,,,,,low,
Honor,X6a,,android,phone,2023,unknown,,,,,,,,,low,
Honor,X6b,,android,phone,2024,unknown,,,,,,,,,low,
Honor,X7,,android,phone,2022,unknown,,,,,,,,,low,
Honor,X7a,,android,phone,2023,unknown,,,,,,,,,low,
Honor,X7b,,android,phone,2024,unknown,,,,,,,,,low,
Honor,X8,,android,phone,2022,unknown,,,,,,,,,low,
Honor,X8a,,android,phone,2023,unknown,,,,,,,,,low,
Honor,X8b,,android,phone,2023,unknown,,,,,,,,,low,
Honor,X8c,,android,phone,2024,unknown,,,,,,,,,low,
Honor,X9 5G,,android,phone,2022,unknown,,,,,,,,,low,
Honor,X9a,,android,phone,2023,unknown,,,,,,,,,low,
Honor,X9b,,android,phone,2023,unknown,,,,,,,,,low,
Honor,X9c,,android,phone,2024,unknown,,,,,,,,,low,
Honor,X5,,android,phone,2022,unknown,,,,,,,,,low,
Honor,X5 Plus,,android,phone,2023,unknown,,,,,,,,,low,
Honor,X5b,,android,phone,2024,unknown,,,,,,,,,low,
Honor,X5c,,android,phone,2025,unknown,,,,,,,,,low,
Honor,Magic V5,,android,phone,2025,yes,region:CN=no,physical+esim,,,,,,medium,
Honor,Magic Vs2,,android,phone,2023,unknown,,,,,,,,,low,
