brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Infinix,Note 12 Pro 5G,,,,2022,unknown,,,,,,,,,,
Infinix,Note 30,,,,2023,unknown,,,,,,,,,,
Infinix,Note 30 Pro,,,,2023,unknown,,,,,,,,,,
Infinix,Note 30 VIP,,,,2023,unknown,,,,,,,,,,
Infinix,Note 40,,,,2024,unknown,,,,,,,,,,
Infinix,Note 40 Pro,,,,2024,unknown,,,,,,,,,,
Infinix,Note 40 Pro 5G,,,,2024,unknown,,,,,,,,,,
Infinix,Note 40 Pro+ 5G,,,,2024,unknown,,,,,,,,,,
Infinix,Note 50,,,,2025,unknown,,,,,,,,,,
Infinix,Note 50 Pro,,,,2025,unknown,,,,,,,,,,
Infinix,Note 50 Pro+ 5G,,,,2025,unknown,,,,,,,,,,
Infinix,Hot 10,,,,2020,unknown,,,,,,,,,,
Infinix,Hot 10 Play,,,,2021,unknown,,,,,,,,,,
Infinix,Hot 11,,,,2021,unknown,,,,,,,,,,
Infinix,Hot 11S,,,,2021,unknown,,,,,,,,,,
Infinix,Hot 12,,,,2022,unknown,,,,,,,,,,
Infinix,Hot 12 Play,,,,2022,unknown,,,,,,,,,,
Infinix,Hot 20,,,,2022,unknown,,,,,,,,,,
Infinix,Hot 20 5G,,,,2022,unknown,,,,,,,,,,
Infinix,Hot 30,,,,2023,unknown,,,,,,,,,,
Infinix,Hot 30 5G,,,,2023,unknown,,,,,,,,,,
Infinix,Hot 40,,,,2023,unknown,,,,,,,,,,
Infinix,Hot 40 Pro,,,,2023,unknown,,,,,,,,,,
Infinix,Hot 50,,,,2024,unknown,,,,,,,,,,
Infinix,Hot 50 Pro,,,,2024,unknown,,,,,,,,,,
Infinix,Hot 50 Pro+,,,,2024,unknown,,,,,,,,,,
Infinix,Hot 60,,,,2025,unknown,,,,,,,,,,
Infinix,Hot 60 Pro,,,,2025,unknown,,,,,,,,,,
Infinix,Zero 20,,,,2022,unknown,,,,,,,,,,
Infinix,Zero 30,,,,2023,unknown,,,,,,,,,,
Infinix,Zero 30 5G,,,,2023,unknown,,,,,,,,,,
Infinix,Zero 40,,,,2024,unknown,,,,,,,,,,
Infinix,Zero 40 5G,,,,2024,unknown,,,,,,,,,,
Infinix,GT 10 Pro,,,,2023,unknown,,,,,,,,,,
Infinix,GT 20 Pro,,,,2024,unknown,,,,,,,,,,
Infinix,GT 30 Pro,,,,2025,unknown,,,,,,,,,,
ZTE,Blade 20 Pro 5G,,,,2020,unknown,,,,,,,,,,
ZTE,Blade 30 Pro,,,,2021,unknown,,,,,,,,,,
ZTE,Blade V40,,,,2022,unknown,,,,,,,,,,
ZTE,Blade V40 Pro,,,,2022,unknown,,,,,,,,,,
ZTE,Blade V40 Vita,,,,2022,unknown,,,,,,,,,,
ZTE,Blade V50,,,,2023,unknown,,,,,,,,,,
ZTE,Blade V50 Design,,,,2023,unknown,,,,,,,,,,
ZTE,Blade V60,,,,2024,unknown,,,,,,,,,,
ZTE,Blade V70,,,,2025,unknown,,,,,,,,,,
ZTE,Axon 20 5G,,,,2020,unknown,,,,,,,,,,
ZTE,Axon 30 5G,,,,2021,unknown,,,,,,,,,,
ZTE,Axon 30 Ultra 5G,,,,2021,unknown,,,,,,,,,,
ZTE,Axon 40 Ultra,,,,2022,unknown,,,,,,,,,,
ZTE,Axon 40 Pro,,,,2022,unknown,,,,,,,,,,
ZTE,Axon 50 Ultra,,,,2023,unknown,,,,,,,,,,
ZTE,Axon 50 Pro 5G,,,,2023,unknown,,,,,,,,,,
ZTE,Axon 60 Ultra,,,,2024,unknown,,,,,,,,,,
ZTE,Axon 70 Ultra,,,,2025,unknown,,,,,,,,,,
Nubia,Red Magic 5G,,,,2020,unknown,,,,,,,,,,
Nubia,Z20,,,,2020,unknown,,,,,,,,,,
Nubia,Z30 Pro,,,,2021,unknown,,,,,,,,,,
Nubia,Z40 Pro,,,,2022,unknown,,,,,,,,,,
Nubia,Z50,,,,2022,unknown,,,,,,,,,,
Nubia,Z50 Ultra,,,,2022,unknown,,,,,,,,,,
Nubia,Z60 Ultra,,,,2023,unknown,,,,,,,,,,
Nubia,Z60S Pro,,,,2024,unknown,,,,,,,,,,
Nubia,Z70 Ultra,,,,2024,unknown,,,,,,,,,,
Nubia,Neo 5G,,,,2023,unknown,,,,,,,,,,
Nubia,Neo 2 5G,,,,2024,unknown,,,,,,,,,,
Nubia,Neo 3 5G,,,,2025,unknown,,,,,,,,,,
Nubia,Flip 5G,,,,2024,unknown,,,,,,,,,,
Nubia,Flip 2 5G,,,,2025,unknown,,,,,,,,,,
Tecno,Phantom V Fold2 5G,,,,2024,unknown,,,,,,,,,,
