brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
Nothing,Phone (1),,android,phone,2022,no,,none,,,,,,,
Nothing,Phone (2),,android,phone,2023,no,,none,,,,,,,
Nothing,Phone (2a),,android,phone,2024,no,,none,,,,,,,
Nothing,Phone (2a) Plus,,android,phone,2024,no,,none,,,,,,,
ASUS,Zenfone 9,,android,phone,2022,no,,dual-esim,,,,,,,high,
ASUS,Zenfone 10,,android,phone,2023,no,,dual-esim,,,,,,,high,
ASUS,Zenfone 11 Ultra,,android,phone,2024,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 3,,android,phone,2020,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 3 Strix Edition,,android,phone,2020,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 5,,android,phone,2021,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 5 Pro,,android,phone,2021,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 5 Ultimate,,android,phone,2021,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 5s,,android,phone,2021,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 5s Pro,,android,phone,2021,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 6,,android,phone,2022,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 6 Pro,,android,phone,2022,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 6D,,android,phone,2022,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 6D Ultimate,,android,phone,2022,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 7,,android,phone,2023,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 7 Ultimate,,android,phone,2023,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 8,,android,phone,2024,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 8 Pro,,android,phone,2024,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 9,,android,phone,2024,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 9 Pro,,android,phone,2024,no,,dual-esim,,,,,,,high,
ASUS,ROG Phone 9 Pro Edition,,android,phone,2024,no,,dual-esim,,,,,,,high,
Sony,Xperia 1 II,,android,phone,2020,no,,dual-esim,,,,,,,high,
Sony,Xperia 1 III,,android,phone,2021,no,,dual-esim,,,,,,,high,
Sony,Xperia 1 IV,,android,phone,2022,no,,dual-esim,,,,,,,high,
Sony,Xperia 1 V,,android,phone,2023,no,,dual-esim,,,,,,,high,
Sony,Xperia 1 VI,,android,phone,2024,no,,dual-esim,,,,,,,high,
Sony,Xperia 1 VII,,android,phone,2025,no,,dual-esim,,,,,,,high,
Sony,Xperia 5 II,,android,phone,2020,no,,dual-esim,,,,,,,high,
Sony,Xperia 5 III,,android,phone,2021,no,,dual-esim,,,,,,,high,
Sony,Xperia 5 IV,,android,phone,2022,no,,dual-esim,,,,,,,high,
Sony,Xperia 5 V,,android,phone,2023,no,,dual-esim,,,,,,,high,
Sony,Xperia 10 II,,android,phone,2020,no,,dual-esim,,,,,,,high,
Sony,Xperia 10 III,,android,phone,2021,no,,dual-esim,,,,,,,high,
Sony,Xperia 10 IV,,android,phone,2022,no,,dual-esim,,,,,,,high,
Sony,Xperia 10 V,,android,phone,2023,no,,dual-esim,,,,,,,high,
Sony,Xperia 10 VI,,android,phone,2024,no,,dual-esim,,,,,,,high,
Sony,Xperia 10 VII,,android,phone,2025,unknown,,,,,,,,,low,
Fairphone,Fairphone 3,,android,phone,2019,no,,dual-esim,,,,,,,high,
Fairphone,Fairphone 3+,,android,phone,2020,no,,dual-esim,,,,,,,high,
Fairphone,Fairphone 4,,android,phone,2021,no,,dual-esim,,,,,,,high,
Fairphone,Fairphone 5,,android,phone,2023,no,,dual-esim,,,,,,,high,
Nokia,Nokia G10,,android,phone,2021,no,,dual-esim,,,,,,,high,
Nokia,Nokia G11,,android,phone,2022,no,,dual-esim,,,,,,,high,
Nokia,Nokia G11 Plus,,android,phone,2022,no,,dual-esim,,,,,,,high,
Nokia,Nokia G20,,android,phone,2021,no,,dual-esim,,,,,,,high,
Nokia,Nokia G21,,android,phone,2022,no,,dual-esim,,,,,,,high,
Nokia,Nokia G22,,android,phone,2023,no,,dual-esim,,,,,,,high,
Nokia,Nokia G42 5G,,android,phone,2023,no,,dual-esim,,,,,,,high,
Nokia,Nokia G50,,android,phone,2021,no,,dual-esim,,,,,,,high,
Nokia,Nokia G60 5G,,android,phone,2022,conditional,region:US=esim-only,physical+esim,1,,,,,,medium,
Nokia,Nokia G100,,android,phone,2022,no,,dual-esim,,,,,,,high,
Nokia,Nokia X10,,android,phone,2021,no,,dual-esim,,,,,,,high,
Nokia,Nokia X20,,android,phone,2021,no,,dual-esim,,,,,,,high,
Nokia,Nokia X30 5G,,android,phone,2022,conditional,region:US=esim-only,physical+esim,1,,,,,,medium,
Nokia,Nokia X100,,android,phone,2021,no,,dual-esim,,,,,,,high,
Nokia,Nokia C10,,android,phone,2021,no,,dual-esim,,,,,,,high,
Nokia,Nokia C20,,android,phone,2021,no,,dual-esim,,,,,,,high,
Nokia,Nokia C21,,android,phone,2022,no,,dual-esim,,,,,,,high,
Nokia,Nokia C21 Plus,,android,phone,2022,no,,dual-esim,,,,,,,high,
Nokia,Nokia C22,,android,phone,2023,no,,dual-esim,,,,,,,high,
Nokia,Nokia C30,,android,phone,2021,no,,dual-esim,,,,,,,high,
Nokia,Nokia C31,,android,phone,2022,no,,dual-esim,,,,,,,high,
Nokia,Nokia C32,,android,phone,2023,no,,dual-esim,,,,,,,high,
Nokia,Nokia C300,,android,phone,2023,no,,dual-esim,,,,,,,high,
HMD,Skyline,,android,phone,2024,yes,,physical+esim,1,,,,,,medium,
HMD,Pulse,,android,phone,2024,no,,dual-esim,,,,,,,high,
HMD,Pulse+,,android,phone,2024,no,,dual-esim,,,,,,,high,
HMD,Pulse Pro,,android,phone,2024,no,,dual-esim,,,,,,,high,
HMD,Fusion,,android,phone,2024,no,,dual-esim,,,,,,,high,
