brand,marketing_name,model_codes,platform,device_type,release_year,esim_support,esim_conditions,dual_sim,max_esim_profiles,os_min_version,os_max_version,ru_market,source_url,confidence,notes
nothing,Phone (1),,android,phone,2021,no,,unknown,,,,unknown,,low,"no eSIM"
motorola,Moto G24,,android,phone,2024,unknown,,,,,,,unknown,,low,
motorola,Moto G13,,android,phone,2023,unknown,,,,,,,unknown,,low,
motorola,Moto G14,,android,phone,2023,unknown,,,,,,,unknown,,low,
motorola,Moto G23,,android,phone,2023,unknown,,,,,,,unknown,,low,
motorola,Moto G34,,android,phone,2024,unknown,,,,,,,unknown,,low,
motorola,Razr 5G,,android,phone,2020,yes,,physical+esim,1,,,,unknown,,high,"eSIM supported"
motorola,Razr 2022,,android,phone,2022,yes,,physical+esim,1,,,,unknown,,high,
motorola,Razr 40,,android,phone,2023,yes,,physical+esim,1,,,,unknown,,high,
motorola,Razr 40 Ultra,,android,phone,2023,yes,,physical+esim,1,,,,unknown,,high,
motorola,Razr 50,,android,phone,2024,yes,,physical+esim,1,,,,unknown,,high,
motorola,Razr 50 Ultra,,android,phone,2024,yes,,physical+esim,1,,,,unknown,,high,
asus,Zenfone 7,,android,phone,2020,no,,unknown,,,,unknown,,high,"no eSIM"
asus,Zenfone 8,,android,phone,2021,yes,,physical+esim,1,,,,unknown,,high,
asus,Zenfone 9,,android,phone,2022,yes,,physical+esim,1,,,,unknown,,high,
asus,Zenfone 10,,android,phone,2023,yes,,physical+esim,1,,,,unknown,,high,
asus,Zenfone 11 Ultra,,android,phone,2024,yes,,physical+esim,1,,,,unknown,,high,
asus,ROG Phone 3,,android,phone,2020,no,,unknown,,,,unknown,,high,"no eSIM"
asus,ROG Phone 5,,android,phone,2021,yes,,physical+esim,1,,,,unknown,,high,
asus,ROG Phone 5 Pro,,android,phone,2021,yes,,physical+esim,1,,,,unknown,,high,
asus,ROG Phone 5 Ultimate,,android,phone,2021,yes,,physical+esim,1,,,,unknown,,high,
asus,ROG Phone 6,,android,phone,2022,yes,,physical+esim,1,,,,unknown,,high,
asus,ROG Phone 6 Pro,,android,phone,2022,yes,,physical+esim,1,,,,unknown,,high,
asus,ROG Phone 6 Ultimate,,android,phone,2022,yes,,physical+esim,1,,,,unknown,,high,
asus,ROG Phone 7,,android,phone,2023,yes,,physical+esim,1,,,,unknown,,high,
asus,ROG Phone 7 Pro,,android,phone,2023,yes,,physical+esim,1,,,,unknown,,high,
asus,ROG Phone 7 Ultimate,,android,phone,2023,yes,,physical+esim,1,,,,unknown,,high,
asus,ROG Phone 8,,android,phone,2024,yes,,physical+esim,1,,,,unknown,,high,
asus,ROG Phone 8 Pro,,android,phone,2024,yes,,physical+esim,1,,,,unknown,,high,
asus,ROG Phone 9,,android,phone,2025,yes,,physical+esim,1,,,,unknown,,high,
sony,Xperia 1 II,,android,phone,2020,yes,,physical+esim,1,,,,unknown,,high,
sony,Xperia 1 III,,android,phone,2021,yes,,physical+esim,1,,,,unknown,,high,
sony,Xperia 1 IV,,android,phone,2022,yes,,physical+esim,1,,,,unknown,,high,
sony,Xperia 1 V,,android,phone,2023,yes,,physical+esim,1,,,,unknown,,high,
sony,Xperia 1 VI,,android,phone,2024,yes,,physical+esim,1,,,,unknown,,high,
sony,Xperia 1 VII,,android,phone,2025,yes,,physical+esim,1,,,,unknown,,high,
sony,Xperia 5 II,,android,phone,2020,yes,,physical+esim,1,,,,unknown,,high,
sony,Xperia 5 III,,android,phone,2021,yes,,physical+esim,1,,,,unknown,,high,
sony,Xperia 5 IV,,android,phone,2022,yes,,physical+esim,1,,,,unknown,,high,
sony,Xperia 5 V,,android,phone,2023,yes,,physical+esim,1,,,,unknown,,high,
sony,Xperia 10 II,,android,phone,2020,unknown,,,,,,,unknown,,low,
sony,Xperia 10 III,,android,phone,2021,unknown,,,,,,,unknown,,low,
sony,Xperia 10 IV,,android,phone,2022,unknown,,,,,,,unknown,,low,
sony,Xperia 10 V,,android,phone,2023,unknown,,,,,,,unknown,,low,
sony,Xperia 10 VI,,android,phone,2024,unknown,,,,,,,unknown,,low,
sony,Xperia 10 VII,,android,phone,2025,unknown,,,,,,,unknown,,low,
fairphone,Fairphone 3+,,android,phone,2020,no,,unknown,,,,unknown,,high,"no eSIM"
fairphone,Fairphone 4,,android,phone,2021,yes,,physical+esim,1,,,,unknown,,high,
fairphone,Fairphone 5,,android,phone,2023,yes,,physical+esim,1,,,,unknown,,high,
hmd,Nokia G10,,android,phone,2021,unknown,,,,,,,unknown,,low,
hmd,Nokia G20,,android,phone,2021,unknown,,,,,,,unknown,,low,
hmd,Nokia G21,,android,phone,2022,unknown,,,,,,,unknown,,low,
hmd,Nokia G22,,android,phone,2023,unknown,,,,,,,unknown,,low,
hmd,Nokia G50,,android,phone,2021,unknown,,,,,,,unknown,,low,
hmd,Nokia G60,,android,phone,2022,unknown,,,,,,,unknown,,low,
hmd,Nokia X10,,android,phone,2021,unknown,,,,,,,unknown,,low,
hmd,Nokia X20,,android,phone,2021,unknown,,,,,,,unknown,,low,
hmd,Nokia X30,,android,phone,2022,yes,,physical+esim,1,,,,unknown,,high,"eSIM supported"
hmd,Nokia XR20,,android,phone,2021,unknown,,,,,,,unknown,,low,
hmd,Nokia XR21,,android,phone,2023,unknown,,,,,,,unknown,,low,
hmd,Nokia C10,,android,phone,2021,unknown,,,,,,,unknown,,low,
hmd,Nokia C20,,android,phone,2021,unknown,,,,,,,unknown,,low,
hmd,Nokia C21,,android,phone,2021,unknown,,,,,,,unknown,,low,
hmd,Nokia C22,,android,phone,2022,unknown,,,,,,,unknown,,low,
hmd,Nokia C30,,android,phone,2021,unknown,,,,,,,unknown,,low,
hmd,Nokia C31,,android,phone,2021,unknown,,,,,,,unknown,,low,
hmd,Nokia C32,,android,phone,2022,unknown,,,,,,,unknown,,low,
hmd,HMD Skyline,,android,phone,2024,unknown,,,,,,,unknown,,low,
hmd,HMD Pulse,,android,phone,2024,unknown,,,,,,,unknown,,low,
hmd,HMD Pulse+,,android,phone,2024,unknown,,,,,,,unknown,,low,
hmd,HMD Pulse Pro,,android,phone,2024,unknown,,,,,,,unknown,,low,
